Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAMI,"Acadian Asset Management Inc",50.97,-0.3,-0.59%,51.35,51.35,50.155,196300,2025-08-29
AAOI,"Applied Optoelect",24.2,-1.29,-5.06%,25.82,26.65,24.09,3700200,2025-08-29
AAP,"Advance Auto Parts Inc",60.99,0.47,+0.78%,60.88,61.44,60.25,1094900,2025-08-29
AARD,"Aardvark Therapeutics Inc",8.3,-0.19,-2.24%,8.46,8.48,8.2,50000,2025-08-29
AAT,"American Assets Trust",20.9,0.029999999999998,+0.14%,21.02,21.03,20.76,300400,2025-08-29
ABAT,"American Battery Technology Co.",2.47,-0.05,-1.98%,2.5,2.55,2.41,1779900,2025-08-29
ABCB,"Ameris Bancorp",73.28,-0.31,-0.42%,73.63,74,72.935,345800,2025-08-29
ABEO,"Abeona Therapeutics",6.83,-0.05,-0.73%,6.93,6.95,6.74,404700,2025-08-29
ABG,"Asbury Automotive Group Inc",251.54,-6.5,-2.52%,258.73,258.93,251.18,160900,2025-08-29
ABM,"ABM Industries Inc",49.17,0.11,+0.22%,49.15,49.43,48.71,407400,2025-08-29
ABR,"Arbor Realty Trust",11.94,0.12,+1.02%,11.75,11.94,11.7429,2157800,2025-08-29
ABSI,"Absci Corp",2.39,-0.08,-3.24%,2.47,2.5,2.37,3090300,2025-08-29
ABUS,"Arbutus Biopharma Corp",3.71,0.04,+1.09%,3.67,3.73,3.65,766900,2025-08-29
ACA,"Arcosa Inc",98.95,-0.21,-0.21%,99.43,99.5,97.845,296400,2025-08-29
ACAD,"Acadia Pharmaceutica",25.99,-0.24,-0.91%,26.19,26.3,25.82,1322600,2025-08-29
ACCO,"Acco Brands Corp",4.02,0.04,+1.01%,3.97,4.03,3.96,412800,2025-08-29
ACDC,"Profrac Holding Corp. Cl A",4,-0.23,-5.44%,4.19,4.21,3.93,1524100,2025-08-29
ACEL,"Accel Entertainment Inc",11.59,0.029999999999999,+0.26%,11.42,11.62,11.42,299300,2025-08-29
ACHR,"Archer Aviation Inc",8.95,-0.25,-2.72%,9.18,9.2285,8.86,21445100,2025-08-29
ACIC,"American Coastal Insurance Corp",11.05,0.18,+1.66%,10.89,11.09,10.83,214000,2025-08-29
ACIW,"Aci Worldwide Inc",49.35,0.15,+0.30%,49.29,49.42,48.88,789200,2025-08-29
ACLS,"Axcelis Tech Inc",80.04,-1.97,-2.40%,81.83,82.27,79.55,385700,2025-08-29
ACLX,"Arcellx Inc",69.39,-0.86,-1.22%,70.2,70.88,69,518700,2025-08-29
ACMR,"Acm Research Inc",28.22,-1.07,-3.65%,29.34,29.47,28.05,1177800,2025-08-29
ACNB,"Acnb Corp",45.32,-0.75,-1.63%,45.94,45.94,45.08,15100,2025-08-29
ACNT,"Ascent Industries Co.",12.22,0.28,+2.35%,11.93,12.34,11.93,31500,2025-08-29
ACR,"Acres Commercial Realty Corp",21,0.2,+0.96%,20.8105,21.02,20.8105,11800,2025-08-29
ACRE,"Ares Commercial Real Estate Cor",4.72,0.05,+1.07%,4.67,4.76,4.66,347000,2025-08-29
ACRS,"Aclaris Therapts",1.93,0.09,+4.89%,1.85,1.98,1.805,832800,2025-08-29
ACT,"Enact Holdings Inc",37.65,0.07,+0.19%,37.44,37.87,37.44,357500,2025-08-29
ACTG,"Acacia Res-Acacia",3.41,0.13,+3.96%,3.28,3.44,3.24,285100,2025-08-29
ACTU,"Actuate Therapeutics Inc",8.44,0.22,+2.68%,8.22,8.55,8.02,41000,2025-08-29
ACU,"Acme United Corp",43.02,0.13,+0.30%,43.17,43.17,42.5,3200,2025-08-29
ACVA,"Acv Auctions Inc Cl A",11.66,-0.03,-0.26%,11.75,11.9,11.581,3179600,2025-08-29
ADCT,"Adc Therapeutics Sa",3.07,-0.18,-5.54%,3.23,3.249,3.07,261900,2025-08-29
ADEA,"Adeia Inc",15.04,-0.44,-2.84%,15.48,15.55,14.98,679900,2025-08-29
ADMA,"Adma Biologics",17.26,-0.12,-0.69%,17.4,17.41,17.1,2528000,2025-08-29
ADNT,"Adient Plc",24.8,-0.28,-1.12%,25.12,25.215,24.55,760000,2025-08-29
ADPT,"Adaptive Biotechnologies Corp",13.18,-0.13,-0.98%,13.33,13.33,12.92,2423900,2025-08-29
ADTN,"Adtran Holdings Inc",9.38,-0.07,-0.74%,9.43,9.49,9.31,1258700,2025-08-29
ADUS,"Addus Homecare Corp",115.17,-0.15,-0.13%,115.63,115.63,114.61,72700,2025-08-29
ADV,"Advantage Solutions Inc",1.82,-0.02,-1.09%,1.85,1.88,1.81,218800,2025-08-29
AEBI,"Aebi Schmidt Holding Ag",12.29,0.13,+1.07%,12.12,12.36,11.72,426900,2025-08-29
AEHR,"Aehr Test Systems",24.95,-2.1,-7.76%,26.8,26.85,24.65,1763100,2025-08-29
AEIS,"Advanced Energy",149.68,-5.87,-3.77%,154.65,154.85,147.69,290700,2025-08-29
AEO,"American Eagle Outfitters",12.94,-0.23,-1.75%,13.3,13.345,12.84,6284800,2025-08-29
